n,p,k,temperature,ph,label,ec,moisture
90.0,42.0,43.0,20.87974371,6.502985292000001,rice,1.19,97.7
85.0,58.0,41.0,21.77046169,7.038096361,rice,1.36,98.7
60.0,55.0,44.0,23.00445915,7.840207144,rice,1.16,100.0
74.0,35.0,40.0,26.49109635,6.980400905,rice,1.2,100.0
78.0,42.0,42.0,20.13017482,7.628472891,rice,1.08,100.0
69.0,37.0,42.0,23.05804872,7.073453503,rice,1.1,100.0
69.0,55.0,38.0,22.70883798,5.70080568,rice,1.04,100.0
94.0,53.0,40.0,20.27774362,5.718627177999999,rice,1.38,100.0
89.0,54.0,38.0,24.51588066,6.685346424,rice,1.0,99.9
68.0,58.0,38.0,23.22397386,6.336253525,rice,1.17,100.0
91.0,53.0,40.0,26.52723513,5.386167788,rice,1.22,100.0
90.0,46.0,42.0,23.97898217,7.50283396,rice,1.19,100.0
78.0,58.0,44.0,26.80079604,5.108681786,rice,1.27,100.0
93.0,56.0,36.0,24.01497622,6.98435366,rice,1.08,93.6
94.0,50.0,37.0,25.66585205,6.94801983,rice,1.29,97.0
60.0,48.0,39.0,24.28209415,7.042299068999999,rice,0.93,98.3
85.0,38.0,41.0,21.58711777,6.2490506560000005,rice,1.18,100.0
91.0,35.0,39.0,23.79391957,6.970859754,rice,1.19,100.0
77.0,38.0,36.0,21.8652524,5.953933276,rice,1.07,100.0
88.0,35.0,40.0,23.57943626,5.85393208,rice,1.17,100.0
89.0,45.0,36.0,21.32504158,6.442475375,rice,1.49,98.3
76.0,40.0,43.0,25.15745531,5.070175667,rice,1.45,99.0
67.0,59.0,41.0,21.94766735,6.012632591,rice,1.07,98.3
83.0,41.0,43.0,21.0525355,6.254028451,rice,1.17,100.0
98.0,47.0,37.0,23.48381344,7.375482851,rice,1.31,97.2
66.0,53.0,41.0,25.0756354,7.778915154,rice,1.12,100.0
97.0,59.0,43.0,26.35927159,6.2865001760000006,rice,1.21,100.0
97.0,50.0,41.0,24.52922681,7.070959995,rice,1.11,100.0
60.0,49.0,44.0,20.77576147,6.244841491,rice,1.07,100.0
84.0,51.0,35.0,22.30157427,6.043304899,rice,1.23,96.1
73.0,57.0,41.0,21.44653958,5.824709117,rice,1.23,100.0
92.0,35.0,40.0,22.17931888,6.3573893660000005,rice,1.1,98.6
85.0,37.0,39.0,24.52783742,6.364134967999999,rice,1.0,100.0
98.0,53.0,38.0,20.26707606,5.01450727,rice,1.12,100.0
88.0,54.0,44.0,25.7354293,6.149410611,rice,1.23,100.0
95.0,55.0,42.0,26.79533926,5.950660556,rice,1.2,92.7
99.0,57.0,35.0,26.75754171,5.960370061,rice,1.06,100.0
95.0,39.0,36.0,23.86330467,5.561398642,rice,1.21,100.0
60.0,43.0,44.0,21.01944696,7.416245107000001,rice,0.97,100.0
63.0,44.0,41.0,24.17298839,5.583370042,rice,1.07,100.0
62.0,42.0,36.0,22.78133816,6.430010215,rice,0.87,100.0
64.0,45.0,43.0,25.62980105,5.534878156,rice,1.03,100.0
83.0,60.0,36.0,25.59704938,6.903985986,rice,1.06,95.6
82.0,40.0,40.0,23.83067496,6.271478837999999,rice,1.2,100.0
85.0,52.0,45.0,26.31355498,7.224285503,rice,1.35,100.0
91.0,35.0,38.0,24.8972823,6.13428721,rice,1.28,91.1
76.0,49.0,42.0,24.958779,5.206373153,rice,1.08,100.0
